trade_id,status,opened_at_utc,closed_at_utc,platform,asset,category,yf,strategy,display_direction,direction_side,priority,stake,payout_pct,expiration_minutes,expiration_bars,signal_candle_utc,signal_candle_close_utc,exit_candle_utc,expiration_time_utc,external_entry_price,external_exit_price,result,profit,platform_entry_price,platform_exit_price,platform_result,price_gap_entry,comment
Pocket Option|USD/JPY PUT|2026-05-05T17:00:00+00:00|PUT|strict,OPEN,2026-05-05T17:16:46.186585+00:00,,Pocket Option,USD/JPY,Forex,JPY=X,USD/JPY PUT,PUT,DOWN,A,10.0,86.0,15,1,2026-05-05T17:00:00+00:00,2026-05-05T17:15:00+00:00,2026-05-05T17:15:00+00:00,2026-05-05T17:30:00+00:00,157.85299682617188,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Deriv|USD/JPY FALL|2026-05-05T17:00:00+00:00|FALL|strict,OPEN,2026-05-05T17:16:47.816669+00:00,,Deriv,USD/JPY,Forex,JPY=X,USD/JPY FALL,FALL,DOWN,A,10.0,81.9,15,1,2026-05-05T17:00:00+00:00,2026-05-05T17:15:00+00:00,2026-05-05T17:15:00+00:00,2026-05-05T17:30:00+00:00,157.85299682617188,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Pocket Option|USD/JPY PUT|2026-05-05T17:30:00+00:00|PUT|strict,OPEN,2026-05-05T17:46:44.122600+00:00,,Pocket Option,USD/JPY,Forex,JPY=X,USD/JPY PUT,PUT,DOWN,A,10.0,86.0,15,1,2026-05-05T17:30:00+00:00,2026-05-05T17:45:00+00:00,2026-05-05T17:45:00+00:00,2026-05-05T18:00:00+00:00,157.84800720214844,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Deriv|USD/JPY FALL|2026-05-05T17:30:00+00:00|FALL|strict,OPEN,2026-05-05T17:46:46.005899+00:00,,Deriv,USD/JPY,Forex,JPY=X,USD/JPY FALL,FALL,DOWN,A,10.0,81.9,15,1,2026-05-05T17:30:00+00:00,2026-05-05T17:45:00+00:00,2026-05-05T17:45:00+00:00,2026-05-05T18:00:00+00:00,157.84800720214844,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Pocket Option|USD/JPY PUT|2026-05-05T17:45:00+00:00|PUT|strict,OPEN,2026-05-05T18:01:11.868200+00:00,,Pocket Option,USD/JPY,Forex,JPY=X,USD/JPY PUT,PUT,DOWN,A,10.0,86.0,15,1,2026-05-05T17:45:00+00:00,2026-05-05T18:00:00+00:00,2026-05-05T18:00:00+00:00,2026-05-05T18:15:00+00:00,157.84500122070312,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Deriv|USD/JPY FALL|2026-05-05T17:45:00+00:00|FALL|strict,OPEN,2026-05-05T18:01:13.608966+00:00,,Deriv,USD/JPY,Forex,JPY=X,USD/JPY FALL,FALL,DOWN,A,10.0,81.9,15,1,2026-05-05T17:45:00+00:00,2026-05-05T18:00:00+00:00,2026-05-05T18:00:00+00:00,2026-05-05T18:15:00+00:00,157.84500122070312,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Pocket Option|USD/JPY PUT|2026-05-05T18:00:00+00:00|PUT|strict,OPEN,2026-05-05T18:16:55.971763+00:00,,Pocket Option,USD/JPY,Forex,JPY=X,USD/JPY PUT,PUT,DOWN,A,10.0,86.0,15,1,2026-05-05T18:00:00+00:00,2026-05-05T18:15:00+00:00,2026-05-05T18:15:00+00:00,2026-05-05T18:30:00+00:00,157.86399841308594,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Deriv|USD/JPY FALL|2026-05-05T18:00:00+00:00|FALL|strict,OPEN,2026-05-05T18:16:57.666487+00:00,,Deriv,USD/JPY,Forex,JPY=X,USD/JPY FALL,FALL,DOWN,A,10.0,81.9,15,1,2026-05-05T18:00:00+00:00,2026-05-05T18:15:00+00:00,2026-05-05T18:15:00+00:00,2026-05-05T18:30:00+00:00,157.86399841308594,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Pocket Option|USD/JPY PUT|2026-05-05T18:15:00+00:00|PUT|strict,OPEN,2026-05-05T18:31:43.106594+00:00,,Pocket Option,USD/JPY,Forex,JPY=X,USD/JPY PUT,PUT,DOWN,A,10.0,86.0,15,1,2026-05-05T18:15:00+00:00,2026-05-05T18:30:00+00:00,2026-05-05T18:30:00+00:00,2026-05-05T18:45:00+00:00,157.875,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Deriv|USD/JPY FALL|2026-05-05T18:15:00+00:00|FALL|strict,OPEN,2026-05-05T18:31:44.984812+00:00,,Deriv,USD/JPY,Forex,JPY=X,USD/JPY FALL,FALL,DOWN,A,10.0,81.9,15,1,2026-05-05T18:15:00+00:00,2026-05-05T18:30:00+00:00,2026-05-05T18:30:00+00:00,2026-05-05T18:45:00+00:00,157.875,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
